,timedelta
1,6
3,24
6,38
9,53
11,37
12,42
13,10
14,51
17,3
18,16
20,3
21,15
23,53
24,14
25,52
26,20
27,43
32,29
33,52
34,9
37,10
38,18
41,27
42,42
43,23
45,11
46,22
47,4
48,25
51,16
53,2
54,25
55,13
60,3
62,29
64,26
65,3
67,49
69,11
70,60
71,7
73,54
74,14
75,49
76,3
77,4
78,24
81,20
82,19
83,52
85,51
87,22
88,1
90,4
92,7
93,15
94,18
96,19
97,53
98,19
99,55
101,9
102,52
104,60
106,44
107,9
109,1
110,31
111,54
112,20
114,13
116,13
117,27
121,2
122,26
123,16
124,27
127,33
128,8
129,17
135,2
136,38
137,4
142,24
143,15
146,52
147,1
148,33
150,1
151,5
153,5
158,26
159,42
160,28
161,19
163,21
164,30
167,39
169,12
171,43
172,14
173,59
175,3
176,8
177,54
178,56
180,7
181,59
182,57
183,1
184,39
185,27
187,10
191,43
192,34
195,45
197,28
198,24
201,12
203,38
208,41
209,8
211,41
212,7
213,18
215,8
216,54
217,17
218,40
219,18
222,17
224,53
225,25
226,8
228,17
229,5
230,31
231,47
232,43
233,49
237,8
239,5
240,36
241,48
245,12
246,30
247,12
248,48
249,54
251,5
252,5
253,34
254,26
256,7
257,48
258,17
263,57
264,1
268,41
269,10
271,3
274,14
276,34
277,24
278,31
281,56
282,49
283,41
289,54
293,42
295,32
296,50
297,4
298,1
300,1
301,31
302,45
303,41
306,43
311,19
312,19
313,6
316,30
317,50
318,27
319,15
322,11
323,3
324,6
327,25
329,11
330,39
333,24
334,31
335,44
336,54
338,52
340,48
343,1
346,41
347,11
352,53
354,55
355,26
356,2
357,5
358,20
361,18
362,11
365,37
366,18
367,40
368,30
369,5
370,27
371,20
374,16
379,14
381,6
382,23
385,56
386,32
387,6
388,7
389,34
390,14
391,42
392,40
403,21
404,3
405,13
406,31
407,42
409,21
410,12
411,8
412,11
413,59
414,30
415,42
416,32
418,11
420,17
421,31
422,48
424,22
427,1
430,41
432,11
436,27
438,45
439,35
440,46
441,30
442,23
443,42
449,5
450,47
452,37
459,45
460,17
462,1
463,14
464,29
469,54
472,16
474,7
475,14
477,35
478,35
479,13
480,22
481,6
482,26
484,40
485,33
486,33
490,18
491,45
492,42
493,4
494,48
495,3
497,34
501,32
502,19
503,8
505,16
507,45
508,47
509,6
512,4
513,27
515,14
516,35
518,25
521,18
525,20
526,8
527,39
528,7
529,7
531,14
532,1
535,13
536,45
538,13
539,12
540,5
542,16
544,54
548,46
549,16
550,0
551,51
